"RECORD #(BIBLIO)"	"UPDATED(BIBLIO)"	"245"	"246"	"530"	"538"	"590"	"690"	"856"
"b17164023"	"08-19-2008"	"Congressional Research Service reports [electronic resource] / hosted by UNT Libraries"	"At head of title: CRS reports"	""	"System requirements: Internet connectivity, World Wide Web browser, Adobe Acrobat reader"|"Available via Internet, http://digital.library.unt.edu/govdocs/crs/"	" Non-partisanship and in-depth analysis  of public policy issues on topics under study by Congress all under 50 pages."	"Government information"	"View online http://digital.library.unt.edu/govdocs/crs/"
"b17189469"	"07-10-2008"	"Teacher reference center [electronic resource]"	""	""	"Available via Internet, http://www.TeacherReference.com"	"Popular trade journals, periodicals and books covering key educational topics, such as asssessment, continuing education, current pedagogical research, curriculum development, instructional media, language arts, literacy standards, science and mathematics. Coverage: varies"	"Education"	"View online http://www.TeacherReference.com"
"b17190009"	"07-07-2011"	"ATLA religion database with ATLASerials [electronic resource]"	"ATLA religion database with ATLA serials"|"Religion database with ATLASerials"|"EBSCOhost ATLA religion database with ATLASerials"|"American Theological Library Association religion database with American Theological Library Association serials"|"ATLA serials"|"ATLA religion database"|"ATLAserials"|"Religion database"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rfh"	"Contains more than a million citations from more than a thousand international titles and multi-author works in Religion. Spans over 50 years with selected records going back to 1818. Some full text. Coverage: 1949 - current"	"Religion"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rfh"
"b17192833"	"07-10-2008"	"GreenFILE [electronic resource]"	"Green FILE"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=8gh"	"Scholarly and popular articles, government documents and reports from over 600 titles dealing with the interaction between humans and the environment. Coverage: varies"	"Environmental sciences"|"Natural sciences"|"Biology"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=8gh"
"b17200325"	"01-18-2012"	"America, history & life [electronic resource]"	"America, history and life"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ahl"	"Covers American history. Coverage: 1967 - current"	"Race and Ethnic Studies"|"Anthropology"|"Archaeology"|"Feminist and gender studies"|"History"|"North American studies"|"Southwest studies"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ahl"
"b17200805"	"01-18-2012"	"Historical abstracts [electronic resource]"	""	"Online version of: Historical abstracts on disc; Historical abstracts. Part A, Modern history abstracts, 1775-1914; and Historical abstracts. Part B, Twentieth century abstracts, 1914"	"http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=hia"	"Covers world history. Coverage: 1967 - current"	"Africa"|"Anthropology"|"Archaeology"|"Asian studies"|"French language and literature"|"Italian language and literature"|"Spanish language and literature"|"History"|"Latin America"|"Russian and Eurasian studies"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=hia"
"b1722049x"	"08-19-2008"	"Development Experience Clearinghouse DEXS [electronic resource] / United States Agency for International Development"	"Development experience system (USAID)"|"Also known as: USAID DEXS"|"DEXS"	""	"Available via Internet, http://dec.usaid.gov/"	"Largest online resource for USAID funded technical and program documentation, search for agency-funded technical and program-related documents; in PDF format."	"Government information"	"View online http://dec.usaid.gov/"
"b17222631"	"02-02-2012"	"EPA publications search [electronic resource]"	"Environmental Protection Agency publications search"	""	"Available via Internet, http://www.epa.gov/search.html"	"Search for Environmental Protection Agency publications by number or subject ."	"Government information"	"View online http://www.epa.gov/search.html"
"b17222643"	"08-25-2008"	"Fed in print [electronic resource] : an index to Federal Reserve economic research"	""	"Also available in print"	"System requirements: Internet connectivity, WWW browser"|"Available via Internet, http://www.frbsf.org/publications/fedinprint/index.html"	"A comprehensive index to Federal Reserve economic research, working papers and economic articles"	"Government information"	"View online http://www.frbsf.org/publications/fedinprint/index.html"
"b17222783"	"08-25-2008"	"Homeland security digital library [electronic resource] / Naval Postgraduate School Center for Homeland Defense and Security"	"HSDL"	""	"Mode of access: Internet at the HSDL web site. Address as of 4/25/08: https://www.hsdl.org/?auth/login&dest=search ; current access is available via PURL"	"Collection of homeland security policy and strategy related documents - U.S. policy documents, presidential directives, and national strategy documents as well as specialized resources such as theses and research reports from various universities, organizations, local agencies and state agencies"	"Government information"	"View online http://purl.access.gpo.gov/GPO/LPS93521"
"b17222898"	"08-29-2008"	"UN documentation centre [electronic resource]"	"United Nations documentation centre"|"UN documentation center"|"United Nations documentation center"	""	"Available via Internet, http://www.un.org/documents/"|"System requirements: ODS is a multilingual system. Requires UNICODE based Internet browsers such as MS Internet Explorer 5.5, Netscape 6.21 or higher versions"	"Official records, reports, resolutions, meeting records, sales publications, press releases with dates from the General Assembly, Councils, and Internation Court of Justice"	"Government information"	"View online http://www.un.org/documents"
"b17237117"	"03-28-2012"	"Regional business news [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bwh"	"Regional business publications covering all metropolitan and rural areas in the U.S. Coverage: 1985 - current"	"Economics and business"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bwh"
"b17464031"	"03-07-2013"	"The economist [electronic resource]"	""	"Also issued in print"	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=ECON"	"HISTORICAL ARCHIVE 1843-2009. Digitized version of the famous magazine which has analyzed British and global affairs for 150+ years.  For more recent issues of the Economist, please see the print version in Tutt Library or access through EBSCO: http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?direct=true&db=bth&jid=ECO&site=ehost-live Coverage: 1843-2009"	"Economics and business"|"History"|"Political science"	"http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=ECON View online"
"b17566083"	"07-02-2012"	"The financial times [electronic resource]"	""	"Also issued in print"	"Available via Internet."|"Available via Internet http://find.galegroup.com/ftha/"	"HISTORICAL ARCHIVE 1888-2006. Digitized version of this important daily business newspaper, useful for researching economic and financial history.  For more recent articles, please use Lexis Nexis (http://0-web.lexis-nexis.com.tiger.coloradocollege.edu/universe) and search by Source (enter Financial Times). Coverage: 1888-2006"	"Economics and business"|"History"	"http://0-find.galegroup.com.tiger.coloradocollege.edu/ftha/ View online"
"b17615604"	"04-19-2012"	"Oxford music online [electronic resource]"	""	""	"Available via Internet, http://www.oxfordmusiconline.com/"	"A gateway into music research and the access point for new and forthcoming Oxford music reference subscriptions and products. Currently this includes Grove Music Online, the Oxford Companion to Music, and the Oxford Dictionary of Music. Coverage: N/A"	"Music"	"View online http://0-www.oxfordmusiconline.com.tiger.coloradocollege.edu/"
"b17615628"	"09-03-2008"	"Encyclopedia of aesthetics / Michael Kelly, editor in chief"	""	"Available also in print; print version published: 1998"	"Available via Internet, http://www.oxfordartonline.com/subscriber/"	"Provides coverage of historical accounts and critical discussions of aesthetics. Part of Oxford Art Online"	"Art"	"View online http://0-www.oxfordartonline.com.tiger.coloradocollege.edu/subscriber/"
"b17616736"	"09-16-2008"	"Philosopher's index [electronic resource]"	""	"Also available in print and on CD-ROM"	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=phl"	"Provides indexing and abstracts from over 40 countries of books and over 480 journals of philosophy and related fields. Covers areas of ethics, aesthetics, social philosophy political philosophy, epistemology, metaphysic logic, philosophy of law, religion, science, history, education, language. Coverage: 1940 - current"	"Philosophy"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=phl"
"b17616839"	"01-16-2009"	"The new Palgrave dictionary of economics online [electronic resource] / [edited by Steven N. Durlauf and Lawrence E. Blume]"	"Palgrave dictionary of economics online"	"Also available in print"	"Available via Internet, http://www.dictionaryofeconomics.com/"	"Articles on economic methodology and schools of thought.  Excellent background information for complex topics.  Bibliographic  references to major sources.  Also found in print form in reference collection, Ref. HB61 .N49 2008"	"Economics and business"	"View online http://0-www.dictionaryofeconomics.com.tiger.coloradocollege.edu/"
"b17621409"	"10-20-2011"	"CQ voting and elections collection [electronic resource] : expert analysis, demographics, and data"	"Voting and elections collection"|"Colorado College: Voting and elections collection"	""	"Available via Internet, http://library.cqpress.com/elections"	"An elections database covering presidential, congressional and gubernatorial elections, campaigns, political parties, voters and demographics. Includes historical and modern data, analyses of elections and voting behavior, explanations of electoral process and reforms, census and district demographics, key events and issues, and much more"	"Government information"|"Political science"	"View online http://0-library.cqpress.com.tiger.coloradocollege.edu/elections"
"b1762244x"	"03-20-2012"	"United States Patent and Trademark Office [electronic resource] : an agency of the United States Department of Commerce"	"Agency of the United States Department of Commerce"|"Also known as: U.S.P.T.O"|"USPTO"	""	"Available via Internet, http://www.uspto.gov/"	"United States Patent and Trademark Office (USPTO) website. Search for existing patents and trademarks or file new ones. Also features information on intellectual property and inventors."	"Government information"	"View online http://www.uspto.gov/"
"b17623492"	"11-12-2008"	"Defense Technical Information Center (DTIC) [electronic resource]"	"Other title from Web page: DTIC online"	""	"Available via Internet, http://www.dtic.mil/dtic/"	"Access to Dept. of Denfense and government-funded scientific, technical, engineering, and business related information"	"Government information"	"View online http://www.dtic.mil/dtic/"
"b17647800"	"02-08-2013"	"History of science, technology and medicine [electronic resource]"	"HistSciTechMed"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=htm"	"An international bibliography for the history of science, technology and medicine, reflecting the influence of these fields on society and culture from prehistory to the present. Includes journal articles, conference proceedings, books, book reviews and dissertations."	"Agriculture and forestry"|"Biology"|"Chemistry"|"Computer science"|"Environmental sciences"|"Geology"|"Health and medicine"|"Mathematics"|"Natural sciences"|"Physics"|"Psychology"|"Sport science"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=htm"
"b17704728"	"08-22-2012"	"Auto repair reference center [electronic resource]"	"ARRC"|"Automotive repair reference center"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=autorefctr"	"ARRC contains repair and maintenance information on most major manufacturers of domestic and imported vehicles. New repair procedures, TSBs and updates are added to the product on a regular basis. All of the content in ARRC has been created by ASE certified technicians"	""	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=autorefctr"
"b17707389"	"08-22-2012"	"Consumer health complete [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=chc"	"Designed to support the information needs of patients, and to foster an overall understanding of health-related topics. CHC provides content covering all areas of health and wellness from mainstream medicine to the many perspectives of complementary, holistic and integrated medicine"	"Health and medicine"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=chc"
"b17707432"	"08-16-2012"	"History reference center [electronic resource]"	"EBSCOHost history reference center"	""	"Available via Internet, http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=khh"	"Full text history reference database designed for secondary schools, public libraries, junior/community colleges and undergraduate research. The database features full text for more than 1,990 reference books, encyclopedias and non-fiction books from leading history publishers"	"Education: Curricular"|"History"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=khh"
"b17707456"	"11-12-2008"	"MAS ultra-school edition [electronic resource]"	"At head of title: EBSCOhost databases"|"MAS ultra school edition"|"Magazine article summaries ultra school edition"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ulh"	"Specifically designed for high school students with full text of 500 periodicals, 350 reference books, 100,000 primary source documents, 84,700 biographies - plus over 235,000 photos, maps, and flags"	"Education"|"Education: Curricular"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ulh"
"b17707523"	"08-22-2012"	"Science reference center [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=sch"	"Comprehensive research database that provides easy access to a multitude of full-text science-oriented content. Designed to meet every student's science research needs, Science Reference Center contains full text for hundreds of science encyclopedias, reference books, periodicals and other sources. Science Reference Center also satisfies the demand for standards-based content by providing teachers and librarians with articles correlated to state and national curriculum standards"	"Biology"|"Chemistry"|"Education: Curricular"|"Environmental sciences"|"Geology"|"Health and medicine"|"Natural sciences"|"Physics"|"Sport science"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=sch"
"b17729233"	"07-13-2011"	"Oxford language dictionaries online [electronic resource]"	""	""	"Available via Internet, http://www.oxfordlanguagedictionaries.com/"	"Bilingual online dictionaries for Chinese, French, German, Italian, Russian and Spanish. Also features audio pronunciation guides, grammatical notes, and much more."	"Chinese language and literature"|"French language and literature"|"German language and literature"|"Italian language and literature"|"Russian language and literature"|"Spanish language and literature"	"View online http://0-www.oxfordlanguagedictionaries.com.tiger.coloradocollege.edu/"
"b17782740"	"03-18-2009"	"The Times digital archive, 1785-1985 [electronic resource]"	"Colorado College: London times digital archive"|"Also known as: London times digital archive"|"Also known as: Times of London digital archive"	"Digital online edition of the Times London and its predecessor The Daily universal register (1785-1787)"	"Available via Internet, http://find.galegroup.com/menu/start?prod=TTDA&userGroupName=colorado"	"Full text of the The Times (London) provides access to full facsimile images of either a specific article or a complete page.  The entire newspaper is captured, with all articles, advertisements and illustrations/photos. Coverage: 1785-1985"	"Political science"	"View online http://0-find.galegroup.com.tiger.coloradocollege.edu/menu/start?prod=TTDA&userGroupName=colorado"
"b17902447"	"08-14-2012"	"SciFinder [electronic resource]"	"Also known as: SciFinder, web version"	""	"Available via Internet, https://scifinder.cas.org/scifinder/"|"For first-time registration, click here:  https://scifinder.cas.org/registration/index.html?corpKey=19F43774-86F3-5055-527D-70526AF212F3"	"SciFinder Web retrieves information contained in databases produced by Chemical Abstracts Service (CAS) and Medline. It contains journal articles, patents, conference proceedings, dissertations, technical reports, books, and more, covering a wide spectrum of science-related information, including chemistry, biochemistry, and chemical engineering. Coverage: 1907 - current"	"Biology"|"Chemistry"|"Environmental sciences"|"Geology"|"Health and medicine"|"Natural sciences"|"Physics"	"View online https://0-scifinder.cas.org.tiger.coloradocollege.edu/scifinder/"
"b17941301"	"06-15-2011"	"CAA.reviews [electronic resource]"	"College Art Association reviews"	""	"Available via Internet, http://www.caareviews.org/"	"Critical reviews of books, exhibitions, and projects in all areas and periods of art history and visual studies.  Published by the College Art Association. Coverage: 1999 - current"	"Art"	"View online http://0-www.caareviews.org.tiger.coloradocollege.edu/"
"b18070401"	"07-07-2011"	"Eighteenth Century collections online [electronic resource]"	"18th Century collections online"|"Also known as: ECCO"	"Also available on microform"	"Available via Internet, http://galenet.galegroup.com/servlet/ECCO?locID=colorado"	"Digitized copies of every significant English-language and foreign-language title printed in Great Britain during the eighteenth century, along with thousands of important works from the Americas. Now incorporates new texts from ECCO part two. Coverage: 1701-1800"	"Comparative literature"|"English language and literature"|"History"	"View online http://0-galenet.galegroup.com.tiger.coloradocollege.edu/servlet/ECCO?locID=colorado"
"b19493150"	"06-15-2011"	"Latin American newspapers [electronic resource]"	""	""	"Available via Internet, http://infoweb.newsbank.com/"	"More than 35 fully searchable newspapers published in the 19th and early 20th centuries from Argentina, Brazil, Chile, Cuba, Guatemala, Mexico, Peru, Venezuela and elsewhere. Coverage: 1805 - 1922"	"Spanish language and literature"|"Latin America"	"View online http://0-infoweb.newsbank.com.tiger.coloradocollege.edu/"
"b19542811"	"08-01-2012"	"The Wall Street journal [electronic resource]"	"Wall Street journal online"|"Wall Street journal Eastern edition"|"Some providers have also title: Historical Wall Street journal"	"Also issued in print"	"Available via Internet, http://search.proquest.com/wallstreetjournal/advanced?accountid=10222"	"Daily business/financial and political news and reports with global coverage. Coverage: 1984 - current"	"Political science"|"Economics and business"	"http://0-search.proquest.com.tiger.coloradocollege.edu/wallstreetjournal/advanced?accountid=10222 View online"
"b19543049"	"03-15-2010"	"Art & architecture complete [electronic resource]"	"Art and architecture complete"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=vth"	"Provides indexing and abstracts for more than 730 academic journals, magazines and trade publications with full text for over 330 periodicals and 215 books, as well as selective coverage for over 70 publications, and an Image Collection of over 64,000 images. Coverage: 1980 - current"	"Art"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=vth"
"b19545642"	"11-23-2009"	"National Network for Artist Placement [electronic resource]"	"NNAP"	""	"Available via Internet, http://www.artistplacement.com/admin/login.php"	"Over 700 organizations and more than 2,500 current listings, updated monthly, weekly, daily, in every art discipline: arts institutions, dance companies, museums, galleries, filmmakers, theatre companies, and music organizations throughout the nation. This title replaces National Directory of Arts Internships. (See reference librarian for username and password.)"	"Art"|"Drama and Dance"|"Film"|"Music"	"View online http://www.artistplacement.com/admin/login.php"
"b19550340"	"10-20-2009"	"ScienceDirect [electronic resource]"	"Science direct"	""	"Available via Internet, http://www.sciencedirect.com/"	"Full-text articles online from Elsevier and Academic Press journals. Summary information about articles from all other Elsevier titles and some other publishers. Coverage includes all science areas and many social sciences and humanities areas. Coverage: varies"	"Agriculture and forestry"|"Anthropology"|"Biology"|"Chemistry"|"Computer science"|"Environmental sciences"|"Geology"|"Health and medicine"|"Mathematics"|"Natural sciences"|"Physics"|"Psychology"|"Sport science"	"View online http://0-www.sciencedirect.com.tiger.coloradocollege.edu/"
"b19600707"	"03-15-2010"	"Grzimek's animal life [electronic resource]"	"Animal life"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GZAL"	"Includes information on more than 4,000 species categorized by amphibians, birds, fish, insects, invertebrates, mammals and reptiles, including information on evolution, habitat, behavior, range and more. It is updated regularly by a worldwide network of experts, and includes immersive tools like interactive range maps and thousands of photos, videos, audio tracks. Coverage: current"	"Biology"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GZAL"
"b20060609"	"03-20-2012"	"Business source complete [electronic resource]"	"BSC"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bth"	"A comprehensive source of indexing and abstracts for over 3,000 periodicals, most full text.  Also includes monographs, country economic reports, industry reports, company profiles, working papers, SWOT analyses and author profiles.  Supplemented by Regional Business News and seminar videos. Coverage of marketing, management, MIS, POM, accounting, finance, econometrics, economics, international business, and more. Coverage: 1886 - current"	"Economics and Business"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=bth"
"b20061298"	"02-04-2013"	"Orchestral music online [electronic resource] / David Daniels"	""	""	"Available via Internet, http://data.orchestralmusic.com/cgi-bin/omd.pl?s=0&a=validate"	"The most recent version of David Daniels's classic work, providing information on instrumentation of the standard orchestral repertoire. Features searching of more than 6700 works by some 900 composers  by:  composer, title, duration of work, chorus type and soloists. Offers monthly updates and links from individual works to music publishers and other sources. Coverage: N/A"	"Music"	"View online http://0-data.orchestralmusic.com.tiger.coloradocollege.edu/cgi-bin/omd.pl?s=0&a=validate"
"b20086921"	"04-25-2011"	"Oxford handbooks online [electronic resource]"	""	""	"Available via Internet, http://www.oxfordhandbooks.com/oso/public/index_oho.html"	"The Oxford Handbooks series are a collection in four subject modules: Business and Management, Philosophy, Political Science, and Religion. Each handbook explains the key issues, the classic and contemporary debates on those issues, and sets the agenda for how those debates might evolve.  The handbooks offer authoritative and trustworthy guides to the scholarship in these disciplines."	"Political science"|"Economics and business"|"Philosophy"|"Religion"	"View online http://0-www.oxfordhandbooks.com.tiger.coloradocollege.edu/oso/public/index_oho.html"
"b20116433"	"08-03-2010"	"The American West [electronic resource] : sources from the Everett D. Graff Collection at the Newberry Library, Chicago"	"Sources from the Everett D. Graff Collection at the Newberry Library, Chicago"	""	"Available via Internet, http://www.americanwest.amdigital.co.uk/"	"Selected manuscripts, maps, ephemeral material and rare printed sources from the Everett D. Graff Collection of Western Americana at the Newberry Library, Chicago. Coverage: 1700's-1900's"	"North American studies"|"Southwest studies"	"http://0-www.americanwest.amdigital.co.uk.tiger.coloradocollege.edu/ View online"
"b20131033"	"07-17-2012"	"American periodicals series online [electronic resource]"	"Title from HTML header: ProQuest American periodicals"	"Also available on microfilm"	"Available via Internet, http://search.proquest.com/americanperiodicals/advanced?accountid=10222"	"Over 1,100 periodicals that first began publishing between 1740 and 1900, including special interest and general magazines, literary and professional journals, children's and women's magazines, and many other historically-significant periodicals.  May be cross-searched with ProQuest Historical Newspapers. Coverage: 1740-1940"	"North American studies"|"History"	"http://0-search.proquest.com.tiger.coloradocollege.edu/americanperiodicals/advanced?accountid=10222 View online"
"b20131859"	"08-03-2010"	"Nineteenth century U.S. newspapers [electronic resource]"	"19th century U.S. newspapers"|"19th century US newspapers"|"Nineteenth century United States newspapers"	""	"Available via Internet, http://infotrac.galegroup.com/itw/infomark/0/1/1/purl=rc6_NCNP?sw_aep=colorado"	"Provides access to approximately 1.7 million pages of primary source newspaper content from the 19th century, featuring full-text content and images from numerous newspapers from a range of urban and rural regions throughout the U.S. Coverage: 1800's"	"North American studies"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itw/infomark/0/1/1/purl=rc6_NCNP?sw_aep=colorado"
"b20150234"	"11-09-2010"	"Contemporary world music [electronic resource]"	"At head of title: Music online"|"Welcome to contemporary world music"	""	"Available via Internet,  http://womu.alexanderstreet.com"|"System requirements: Internet connectivity with minimum 56 kbps bandwidth; audio enabled: requires soundcard and speakers/headphones; firewall should allow MP3 and Windows Media content and must have port 1755 open; proxy servers must be able to handle Media Streams.  PC and Mac compatible"	"Contemporary World Music delivers the sounds of all regions from every continent. The database will contain important genres such as reggae, worldbeat, neo-traditional, world fusion, Balkanic jazz, African film, Bollywood, Arab swing and jazz, and other genres such as traditional music - Indian classical, fado, flamenco, klezmer, zydeco, gospel, gagaku, and more. Currently including 2,148 albums, equaling 29,521 tracks, it is growing regularly. Coverage: N/A"	"Music"	"Access audio http://0-womu.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20150283"	"11-09-2010"	"American song [electronic resource]"	"At head of title: Music online"	""	"Available via Internet, http://amso.alexanderstreet.com"|"System requirements: Internet connectivity with minimum 56 kbps bandwidth; audio enabled: requires soundcard and speakers/headphones; firewall should allow MP3 and Windows Media content and must have port 1755 open; proxy servers must be able to handle Media Streams.  PC and Mac compatible"	"American Song is an aural history database that allows people to hear and feel the music from America's past. The database includes songs by and about American Indians, miners, immigrants, slaves, children, pioneers, and cowboys. Included in the database are the songs of Civil Rights, political campaigns, Prohibition, the Revolutionary War, the Civil War, anti-war protests, and more. Currently it includes 4,058 albums, equaling 68,981 tracks; more tracks will be added regularly. Coverage: N/A"	"Music"	"Access audio http://0-amso.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20150295"	"11-09-2010"	"Jazz music library [electronic resource]"	"At head of title: Music online"	""	"Available via Internet, http://jazz.alexanderstreet.com"	"Jazz Music Library is the largest and most comprehensive collection of streaming jazz available online with thousands of jazz artists, ensembles, albums, and genres. This ever-expanding collection currently includes more than 5,041 albums and 60,292 tracks. Coverage: N/A"	"Music"	"Access audio http://0-jazz.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20150726"	"07-07-2011"	"Smithsonian global sound for libraries [electronic resource]"	"Global sound for libraries"|"At head of title: Music online"	""	"Available via Internet, http://glmu.alexanderstreet.com"	"Smithsonian Global Sound for Libraries, produced in partnership with Smithsonian Folkways Recordings, is a virtual encyclopedia of the world's musical and aural traditions. The collection provides educators, students, and interested listeners with an unprecedented variety of online resources that support the creation, continuity, and preservation of diverse musical forms. This growing collection includes over 2,812 albums, equaling 41,082 tracks. Coverage: N/A"	"Music"	"Access online http://0-glmu.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20172187"	"03-20-2012"	"Academic search complete [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=a9h"|"System requirements: Web browser; Adobe Acrobat Reader"	"Large database with extensive full text access to journals, in addition to abstracts and indexing. Subject coverage is general and broad. Coverage: 1865 - current"	"All subjects"|"Anthropology"|"Book reviews"|"Communication"|"Economics and business"|"Feminist and gender studies"|"History"|"Political science"|"Sociology"|"Southwest studies"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=a9h"
"b20195023"	"09-29-2010"	"World databank [electronic resource] / The World Bank Group"	"World data bank"	""	"Available via Internet, http://databank.worldbank.org/"	"Free databases of economic indicators from the World Bank, including World Development Indicators (WDI), Gender Statistics, Education Statistics, Health Nutrition and Population Statistics, Quarterly External Debt Statistics/SDDS and /GDDS, Africa Development Indicators, Global Economic Monitor (GEM), and Millennium Development Goals.  The World databank interface can export statistics to Excel, and generate customizable maps and charts.  Note: if problems are encountered with this website, please exit your browser completely and restart it; or try using a different browser. Coverage:  1960-current"	"Economics and business"|"Government information"|"Sociology"	"View online http://databank.worldbank.org/"
"b20230576"	"02-09-2011"	"PEP-WEB: Psychoanalytic electronic publishing [electronic resource]"	"PEPWEB"|"Psychoanalytic Electronic Publishing Web"	""	"Available via Internet, http://www.pep-web.org/"	"Archive of classic texts and journals in the field of psychoanalysis, including Freuds collected works.  PEP-WEB can search for keywords specifically within dreams, dialogs or references. Coverage: 1920 - current"	"Classics"|"Comparative literature"|"Philosophy"|"Psychology"	"View online http://0-www.pep-web.org.tiger.coloradocollege.edu/"
"b20233929"	"01-07-2013"	"Music online [electronic resource]"	""	""	"Available via Internet, http://muco.alexanderstreet.com/"	"Music Online is the broadest and most comprehensive online music resource that cross-searches all of your library's Alexander Street Press music databases.  CC subscribes to 6 streamed-audio databases; you can search these (American Song, Classical Music Library, Contemporary World Music, Garland Encyclopedia of World Music Online, Jazz Music Library, Smithsonian Global Sound for Libaries) all at once using this tool. Coverage:  N/A"	"Music"	"View online http://0-muco.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20249998"	"07-13-2011"	"South Asian newspapers [electronic resource] / from the World Newspaper Archive in partnership with the Center for Research Libraries"	"World newspaper archive. South Asian newspapers"|"WNA--South Asian newspapers"	""	"Available via Internet, http://infoweb.newsbank/"	"Collection of newspapers published in India, Pakistan and Sri Lanka; languages include English, Bengali and Gujarati.  When completed, this collection will provide 400,000+ pages. Coverage: 1864 - 1922"	"Asian studies"	"View online http://0-infoweb.newsbank.com.tiger.coloradocollege.edu/"
"b20261214"	"01-24-2011"	"Oxford Islamic studies online [electronic resource]"	"Islamic studies online"	""	"Available via Internet, http://www.oxfordislamicstudies.com/"	"Collection of authoritative reference works on Islam and global Islamic history, peoples and culture.  Includes Quranic studies, timelines, maps, art, and learning resources. Coverage: varies"	"Africa"|"Art"|"Asian studies"|"History"|"Religion"	"View online http://0-www.oxfordislamicstudies.com.tiger.coloradocollege.edu/"
